FIPS,2020-02-15,2020-02-16,2020-02-17,2020-02-18,2020-02-19,2020-02-20,2020-02-21,2020-02-22,2020-02-23,2020-02-24,2020-02-25,2020-02-26,2020-02-27,2020-02-28,2020-02-29,2020-03-01,2020-03-02,2020-03-03,2020-03-04,2020-03-05,2020-03-06,2020-03-07,2020-03-08,2020-03-09,2020-03-10,2020-03-11,2020-03-12,2020-03-13,2020-03-14,2020-03-15,2020-03-16,2020-03-17,2020-03-18,2020-03-19,2020-03-20,2020-03-21,2020-03-22,2020-03-23,2020-03-24,2020-03-25,2020-03-26,2020-03-27,2020-03-28,2020-03-29,2020-03-30,2020-03-31,2020-04-01,2020-04-02,2020-04-03,2020-04-04,2020-04-05,2020-04-06,2020-04-07,2020-04-08,2020-04-09,2020-04-10,2020-04-11
51680,NAN,NAN,-2.0,0.0,8.0,-2.0,-5.0,7.0,NAN,-13.0,-2.0,6.0,-2.0,-4.0,2.0,NAN,-2.0,8.0,8.0,2.0,4.0,NAN,NAN,4.0,0.0,4.0,0.0,5.0,NAN,NAN,-17.0,-8.0,-17.0,-2.0,-7.0,-7.0,NAN,-33.0,-12.0,-21.0,-16.0,-18.0,-9.0,NAN,-22.0,-27.0,-4.0,-16.0,-9.0,-2.0,NAN,-15.0,-6.0,-12.0,-10.0,-11.0,9.0
51700,-3.0,-7.0,-4.0,3.0,-1.0,-9.0,-19.0,-5.0,0.0,-5.0,-7.0,1.0,1.0,-2.0,1.0,1.0,5.0,-1.0,3.0,1.0,-12.0,0.0,5.0,6.0,0.0,3.0,-1.0,-3.0,-7.0,-21.0,-19.0,-21.0,-20.0,-21.0,-23.0,-33.0,-37.0,-44.0,-32.0,-43.0,-30.0,-34.0,-30.0,-32.0,-32.0,-42.0,-39.0,-32.0,-35.0,-37.0,-39.0,-35.0,-34.0,-31.0,-35.0,-40.0,-26.0
50007,-15.0,-2.0,-1.0,0.0,-2.0,1.0,-3.0,-3.0,-3.0,-3.0,-4.0,1.0,-2.0,0.0,-4.0,2.0,0.0,4.0,8.0,3.0,-1.0,11.0,13.0,-4.0,-4.0,-1.0,-5.0,-19.0,-11.0,-13.0,-25.0,-24.0,-33.0,-39.0,-46.0,-6.0,-21.0,-41.0,-39.0,-37.0,-47.0,-54.0,-47.0,-57.0,-57.0,-48.0,-52.0,-59.0,-70.0,-63.0,-66.0,-68.0,-61.0,-63.0,-68.0,-70.0,-63.0
49057,5.0,-9.0,-11.0,3.0,-3.0,2.0,7.0,11.0,9.0,12.0,3.0,6.0,8.0,19.0,19.0,6.0,0.0,4.0,11.0,12.0,12.0,20.0,16.0,9.0,8.0,1.0,6.0,1.0,0.0,14.0,-1.0,-7.0,-17.0,-15.0,-11.0,-5.0,-3.0,-9.0,-16.0,-19.0,-17.0,-12.0,-19.0,-8.0,-15.0,-15.0,-13.0,-19.0,-20.0,-20.0,-6.0,-21.0,-22.0,-20.0,-20.0,-21.0,-16.0
51760,11.0,-2.0,-11.0,4.0,1.0,-6.0,-4.0,1.0,6.0,-6.0,1.0,4.0,4.0,6.0,2.0,10.0,3.0,13.0,8.0,-1.0,9.0,33.0,23.0,-4.0,-1.0,4.0,-2.0,-3.0,-9.0,-13.0,-23.0,-19.0,-25.0,-19.0,-20.0,-29.0,-28.0,-41.0,-28.0,-41.0,-28.0,-29.0,-25.0,-19.0,-29.0,-38.0,-31.0,-30.0,-31.0,-30.0,-27.0,-36.0,-30.0,-33.0,-30.0,-35.0,-31.0
49053,23.0,23.0,19.0,7.0,2.0,12.0,2.0,14.0,15.0,11.0,-3.0,11.0,8.0,10.0,22.0,17.0,10.0,0.0,9.0,1.0,6.0,27.0,14.0,16.0,1.0,7.0,4.0,-8.0,-1.0,0.0,5.0,-2.0,7.0,-4.0,-16.0,5.0,-9.0,-20.0,-10.0,-17.0,-13.0,-31.0,-12.0,-22.0,-20.0,-12.0,-12.0,-14.0,-26.0,-26.0,-34.0,-20.0,-14.0,-15.0,-20.0,-30.0,-22.0
53033,8.0,3.0,-13.0,6.0,6.0,2.0,1.0,8.0,2.0,2.0,3.0,5.0,7.0,4.0,3.0,7.0,-6.0,-8.0,-9.0,-16.0,-21.0,-12.0,-14.0,-25.0,-27.0,-28.0,-33.0,-40.0,-28.0,-31.0,-44.0,-47.0,-50.0,-56.0,-56.0,-50.0,-57.0,-63.0,-64.0,-66.0,-70.0,-71.0,-66.0,-66.0,-72.0,-70.0,-68.0,-72.0,-72.0,-64.0,-68.0,-70.0,-70.0,-69.0,-70.0,-70.0,-63.0
51770,-7.0,-10.0,-6.0,3.0,-6.0,2.0,-1.0,3.0,5.0,-9.0,-2.0,-2.0,4.0,3.0,1.0,1.0,-2.0,-1.0,3.0,0.0,4.0,6.0,-5.0,-5.0,2.0,-6.0,-5.0,-7.0,-5.0,-33.0,-21.0,-12.0,-24.0,-25.0,-28.0,-26.0,-46.0,-43.0,-33.0,-38.0,-38.0,-32.0,-29.0,-43.0,-34.0,-44.0,-35.0,-30.0,-37.0,-29.0,-50.0,-37.0,-35.0,-44.0,-45.0,-48.0,-32.0
53061,10.0,10.0,-2.0,5.0,7.0,5.0,7.0,12.0,6.0,6.0,5.0,5.0,6.0,5.0,9.0,8.0,-3.0,-1.0,0.0,-8.0,-11.0,-5.0,0.0,-9.0,-15.0,-14.0,-18.0,-25.0,-19.0,-13.0,-24.0,-28.0,-29.0,-32.0,-32.0,-28.0,-33.0,-42.0,-50.0,-52.0,-58.0,-59.0,-53.0,-48.0,-56.0,-55.0,-52.0,-56.0,-57.0,-41.0,-45.0,-50.0,-51.0,-48.0,-47.0,-48.0,-40.0
51810,-3.0,6.0,-4.0,6.0,-8.0,-5.0,-19.0,-3.0,22.0,1.0,3.0,-3.0,-1.0,-3.0,7.0,12.0,0.0,6.0,0.0,-1.0,-8.0,11.0,19.0,2.0,-2.0,-3.0,0.0,3.0,1.0,0.0,-11.0,-10.0,-24.0,-19.0,-15.0,-27.0,-24.0,-37.0,-22.0,-44.0,-30.0,-27.0,-21.0,-3.0,-27.0,-36.0,-44.0,-34.0,-35.0,-43.0,-27.0,-37.0,-29.0,-35.0,-35.0,-33.0,-29.0
